Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0603_1608Metric",110.975000,-73.260000,0.000000,bottom
"C3","4.7uF","C_0603_1608Metric",110.975000,-71.800000,180.000000,bottom
"C4","10nF","C_0603_1608Metric",110.975000,-68.880000,180.000000,bottom
"C5","100uF","C_0805_2012Metric",115.700000,-76.400000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",122.340000,-70.270000,0.000000,bottom
"C7","4.7uF","C_0603_1608Metric",115.500000,-78.300000,0.000000,bottom
"C8","22uF","C_0603_1608Metric",122.340000,-71.730000,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric",115.500000,-79.950000,0.000000,bottom
"C10","0.1uF","C_0603_1608Metric",122.340000,-73.190000,0.000000,bottom
"C11","0.1uF","C_0603_1608Metric",118.175000,-80.500000,-90.000000,bottom
"C12","10nF","C_0603_1608Metric",93.605000,-81.555000,180.000000,bottom
"C13","10nF","C_0603_1608Metric",101.290000,-81.535000,180.000000,bottom
"D1","SZMM5Z5V1T1G","D_SOD-523",110.740000,-74.690000,0.000000,bottom
"D2","DFLS130L-7","D_PowerDI-123",106.400000,-74.700000,180.000000,bottom
"D3","DFLS130L-7","D_PowerDI-123",99.600000,-66.400000,180.000000,bottom
"D4","DFLS130L-7","D_PowerDI-123",103.300000,-70.600000,0.000000,bottom
"J1","FTS-105-01-X-DV-A","SAMTEC-FTS-105-01-X-DV-A",96.800000,-71.360000,180.000000,bottom
"L1","22uH-LPS4018-223MR","LPS4018",111.279240,-77.789630,0.000000,bottom
"L2","10uH-LPS4018-103MR","LPS4018",120.700000,-76.400000,0.000000,bottom
"Q1","NX3008NBKS","SOT-363_SC-70-6",96.690000,-80.885000,180.000000,bottom
"Q2","MBT2222ADW1T1","SOT-363_SC-70-6",96.690000,-78.025000,180.000000,bottom
"Q3","NX3008NBKS","SOT-363_SC-70-6",104.370000,-80.865000,180.000000,bottom
"Q4","MBT2222ADW1T1","SOT-363_SC-70-6",104.370000,-78.005000,180.000000,bottom
"R3","0R","R_0603_1608Metric",93.620000,-65.870000,0.000000,bottom
"R4","0R","R_0603_1608Metric",119.380000,-70.270000,0.000000,bottom
"R5","7.32M","R_0603_1608Metric",112.790000,-66.600000,90.000000,bottom
"R6","5.62M","R_0603_1608Metric",111.330000,-66.600000,90.000000,bottom
"R7","374K","R_0603_1608Metric",114.250000,-66.600000,-90.000000,bottom
"R8","8.25M","R_0603_1608Metric",115.710000,-66.600000,-90.000000,bottom
"R9","4.53M","R_0603_1608Metric",117.170000,-66.600000,-90.000000,bottom
"R10","8.25M","R_0603_1608Metric",119.380000,-67.350000,180.000000,bottom
"R11","4.75M","R_0603_1608Metric",119.380000,-68.810000,180.000000,bottom
"R12","0R","R_0603_1608Metric",107.525000,-67.350000,0.000000,bottom
"R13","0R","R_0603_1608Metric",105.875000,-67.350000,0.000000,bottom
"R14","DNI (0R)","R_0603_1608Metric",110.975000,-70.340000,180.000000,bottom
"R15","DNI (0R)","R_0603_1608Metric",109.580000,-81.410000,0.000000,bottom
"R16","0R","R_0603_1608Metric",112.540000,-81.410000,180.000000,bottom
"R17","0R","R_0603_1608Metric",107.525000,-65.850000,0.000000,bottom
"R18","0R","R_0603_1608Metric",105.875000,-65.850000,0.000000,bottom
"R19","DNI (0R)","R_0603_1608Metric",99.020000,-77.845000,90.000000,bottom
"R20","DNI (0R)","R_0603_1608Metric",106.700000,-77.835000,90.000000,bottom
"R21","680R","R_0603_1608Metric",93.605000,-77.175000,0.000000,bottom
"R22","100K","R_0603_1608Metric",99.020000,-80.805000,-90.000000,bottom
"R23","10K","R_0603_1608Metric",93.605000,-80.095000,0.000000,bottom
"R24","10K","R_0603_1608Metric",93.605000,-75.715000,0.000000,bottom
"R25","200K","R_0603_1608Metric",93.605000,-78.635000,0.000000,bottom
"R26","680R","R_0603_1608Metric",101.290000,-77.155000,0.000000,bottom
"R27","100K","R_0603_1608Metric",106.700000,-80.795000,-90.000000,bottom
"R28","10K","R_0603_1608Metric",101.290000,-80.075000,0.000000,bottom
"R29","10K","R_0603_1608Metric",101.290000,-75.695000,0.000000,bottom
"R30","200K","R_0603_1608Metric",101.290000,-78.615000,0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",128.900000,-88.700000,180.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",84.500000,-44.300000,180.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",128.900000,-44.300000,180.000000,bottom
"Ref**","Val**","pycubed_mini_half",107.000000,-44.500000,180.000000,bottom
"U1","BQ25570RGRR","QFN50P350X350X100-21N-D",115.175000,-70.775000,0.000000,bottom
"U3","MAX40200AUK","SOT-23-5",121.037500,-80.550000,180.000000,bottom
"C1","0.1uF","C_0402_1005Metric",110.030000,-45.300000,-90.000000,top
"R1","0R","R_0402_1005Metric",109.100000,-45.810000,-90.000000,top
"R2","0R","R_0402_1005Metric",109.100000,-44.790000,-90.000000,top
"REF**","X Label","X Label",106.700000,-88.205445,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",128.900000,-88.700000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",84.500000,-44.300000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",128.900000,-44.300000,0.000000,top
"SC1","SolarCell_Small","KXOB25-05X3F",108.510000,-78.650000,0.000000,top
"SC2","SolarCell_Small","KXOB25-05X3F",108.510000,-70.400000,0.000000,top
"SC3","SolarCell_Small","KXOB25-05X3F",108.510000,-62.149996,0.000000,top
"SC4","SolarCell_Small","KXOB25-05X3F",108.510000,-53.900000,0.000000,top
"SC5","SolarCell_Small","KXOB25-05X3F",83.890000,-78.650000,0.000000,top
"SC6","SolarCell_Small","KXOB25-05X3F",83.890000,-70.400000,0.000000,top
"SC7","SolarCell_Small","KXOB25-05X3F",83.890000,-62.149996,0.000000,top
"SC8","SolarCell_Small","KXOB25-05X3F",83.890000,-53.900000,0.000000,top
"U2","OPT3001","OPT3001",106.700000,-45.300000,180.000000,top
