Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0603_1608Metric",103.825000,-72.740000,180.000000,bottom
"C3","4.7uF","C_0603_1608Metric",108.885000,-64.395000,180.000000,bottom
"C4","10nF","C_0603_1608Metric",108.885000,-61.475000,180.000000,bottom
"C5","100uF","C_0805_2012Metric",113.400000,-67.500000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",119.690000,-62.055000,90.000000,bottom
"C7","4.7uF","C_0603_1608Metric",113.400000,-69.445000,0.000000,bottom
"C8","22uF","C_0603_1608Metric",119.500000,-64.300000,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric",113.400000,-71.100000,0.000000,bottom
"C10","0.1uF","C_0603_1608Metric",119.500000,-65.760000,0.000000,bottom
"C11","0.1uF","C_0603_1608Metric",114.900000,-73.800000,-90.000000,bottom
"C12","10nF","C_0603_1608Metric",91.610000,-55.350000,180.000000,bottom
"C13","10nF","C_0603_1608Metric",91.610000,-63.045000,180.000000,bottom
"D1","SZMM5Z5V1T1G","D_SOD-523",108.655000,-65.825000,0.000000,bottom
"D2","DFLS130L-7","D_PowerDI-123",104.600000,-69.240000,90.000000,bottom
"D3","DFLS130L-7","D_PowerDI-123",99.900000,-69.300000,90.000000,bottom
"D4","DFLS130L-7","D_PowerDI-123",104.600000,-63.940000,90.000000,bottom
"J1","FTS-105-01-X-DV-A","SAMTEC-FTS-105-01-X-DV-A",114.332995,-51.099999,-90.000000,bottom
"L1","22uH-LPS4018-223MR","LPS4018",108.865430,-69.396344,0.000000,bottom
"L2","10uH-LPS4018-103MR","LPS4018",117.466980,-69.396344,0.000000,bottom
"Q1","NX3008NBKS","SOT-363_SC-70-6",94.690000,-54.680000,180.000000,bottom
"Q2","MBT2222ADW1T1","SOT-363_SC-70-6",94.690000,-51.880000,180.000000,bottom
"Q3","NX3008NBKS","SOT-363_SC-70-6",94.690000,-62.375000,180.000000,bottom
"Q4","MBT2222ADW1T1","SOT-363_SC-70-6",94.690000,-59.575000,180.000000,bottom
"R3","0R","R_0603_1608Metric",109.500000,-54.100000,-90.000000,bottom
"R4","0R","R_0603_1608Metric",117.435000,-62.835000,0.000000,bottom
"R5","7.32M","R_0603_1608Metric",110.845000,-59.165000,90.000000,bottom
"R6","5.62M","R_0603_1608Metric",109.385000,-59.165000,90.000000,bottom
"R7","374K","R_0603_1608Metric",112.305000,-59.165000,-90.000000,bottom
"R8","8.25M","R_0603_1608Metric",113.765000,-59.165000,-90.000000,bottom
"R9","4.53M","R_0603_1608Metric",115.225000,-59.165000,-90.000000,bottom
"R10","8.25M","R_0603_1608Metric",117.435000,-59.915000,180.000000,bottom
"R11","4.75M","R_0603_1608Metric",117.435000,-61.375000,180.000000,bottom
"R12","0R","R_0603_1608Metric",105.433916,-48.952854,180.000000,bottom
"R13","0R","R_0603_1608Metric",103.783108,-48.952854,180.000000,bottom
"R14","DNI (0R)","R_0603_1608Metric",108.885000,-62.935000,180.000000,bottom
"R15","DNI (0R)","R_0603_1608Metric",107.405000,-72.785000,0.000000,bottom
"R16","0R","R_0603_1608Metric",110.366980,-72.785000,180.000000,bottom
"R17","0R","R_0603_1608Metric",105.433916,-47.490000,180.000000,bottom
"R18","0R","R_0603_1608Metric",103.783108,-47.490000,180.000000,bottom
"R19","DNI (0R)","R_0603_1608Metric",97.020000,-51.640000,90.000000,bottom
"R20","DNI (0R)","R_0603_1608Metric",97.020000,-59.340000,90.000000,bottom
"R21","680R","R_0603_1608Metric",91.610000,-50.970000,0.000000,bottom
"R22","100K","R_0603_1608Metric",97.020000,-54.600000,90.000000,bottom
"R23","10K","R_0603_1608Metric",91.610000,-53.890000,0.000000,bottom
"R24","10K","R_0603_1608Metric",91.610000,-49.510000,0.000000,bottom
"R25","200K","R_0603_1608Metric",91.610000,-52.430000,0.000000,bottom
"R26","680R","R_0603_1608Metric",91.610000,-58.665000,0.000000,bottom
"R27","100K","R_0603_1608Metric",97.020000,-62.300000,90.000000,bottom
"R28","10K","R_0603_1608Metric",91.610000,-61.585000,0.000000,bottom
"R29","10K","R_0603_1608Metric",91.610000,-57.205000,0.000000,bottom
"R30","200K","R_0603_1608Metric",91.610000,-60.125000,0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",81.600000,-37.200000,0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",81.600000,-83.200000,0.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",127.600000,-37.200000,0.000000,bottom
"Ref**","Val**","pycubed_mini_half",104.700000,-39.200000,180.000000,bottom
"U1","BQ25570RGRR","QFN50P350X350X100-21N-D",113.165000,-63.425000,0.000000,bottom
"U3","MAX40200AUK","SOT-23-5",117.800000,-74.000000,180.000000,bottom
"C1","0.1uF","C_0402_1005Metric",108.030000,-40.300000,90.000000,top
"R1","0R","R_0402_1005Metric",107.100000,-40.810000,90.000000,top
"R2","0R","R_0402_1005Metric",107.100000,-39.790000,90.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",81.600000,-37.200000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",81.600000,-83.200000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",127.600000,-37.200000,180.000000,top
"Ref**","Val**","ypanel",121.655000,-81.627100,0.000000,top
"SC1","SolarCell_Small","KXOB25-05X3F",102.795190,-72.575140,180.000000,top
"SC2","SolarCell_Small","KXOB25-05X3F",102.795190,-64.325140,180.000000,top
"SC3","SolarCell_Small","KXOB25-05X3F",102.795190,-56.075140,180.000000,top
"SC4","SolarCell_Small","KXOB25-05X3F",102.795190,-47.825140,180.000000,top
"SC5","SolarCell_Small","KXOB25-05X3F",127.415410,-72.575140,180.000000,top
"SC6","SolarCell_Small","KXOB25-05X3F",127.415410,-64.325140,180.000000,top
"SC7","SolarCell_Small","KXOB25-05X3F",127.415410,-56.075140,180.000000,top
"SC8","SolarCell_Small","KXOB25-05X3F",127.415410,-47.825140,180.000000,top
"U2","OPT3001","OPT3001",104.600000,-40.300000,180.000000,top
