Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0603_1608Metric",116.147998,-47.889650,-90.000000,bottom
"C3","4.7uF","C_0603_1608Metric",117.607998,-47.889650,90.000000,bottom
"C4","10nF","C_0603_1608Metric",120.527998,-47.889650,90.000000,bottom
"C5","100uF","C_0805_2012Metric",114.427998,-52.479650,-90.000000,bottom
"C6","1uF","C_0603_1608Metric",119.187998,-59.414650,-90.000000,bottom
"C7","4.7uF","C_0603_1608Metric",110.441198,-52.479650,-90.000000,bottom
"C8","22uF","C_0603_1608Metric",117.727998,-59.410000,-90.000000,bottom
"C9","0.1uF","C_0603_1608Metric",112.287998,-52.479650,-90.000000,bottom
"C10","0.1uF","C_0603_1608Metric",116.267998,-59.410000,-90.000000,bottom
"C11","0.1uF","C_0603_1608Metric",113.600000,-64.000000,0.000000,bottom
"C12","10nF","C_0603_1608Metric",107.590000,-72.045000,90.000000,bottom
"C13","10nF","C_0603_1608Metric",118.180000,-80.170000,-90.000000,bottom
"D1","SZMM5Z5V1T1G","D_SOD-523",114.717998,-47.659650,-90.000000,bottom
"D2","DFLS130L-7","D_PowerDI-123",100.825000,-45.700000,180.000000,bottom
"D3","DFLS130L-7","D_PowerDI-123",89.500000,-58.600000,90.000000,bottom
"D4","DFLS130L-7","D_PowerDI-123",86.900000,-58.600000,-90.000000,bottom
"J1","FTS-107-01-X-DV-A","SAMTEC-FTS-107-01-X-DV-A",120.434100,-66.883280,-90.000000,bottom
"J2","BM02B-SRSS-TB","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",75.675000,-71.000000,-90.000000,bottom
"L1","22uH-LPS4018-223MR","LPS4018",111.483598,-48.060050,-90.000000,bottom
"L2","10uH-LPS4018-103MR","LPS4018",113.090000,-56.720000,-90.000000,bottom
"Q1","NX3008NBKS","SOT-363_SC-70-6",108.260000,-75.125000,90.000000,bottom
"Q2","MBT2222ADW1T1","SOT-363_SC-70-6",111.060000,-75.125000,90.000000,bottom
"Q3","NX3008NBKS","SOT-363_SC-70-6",117.510000,-77.090000,-90.000000,bottom
"Q4","MBT2222ADW1T1","SOT-363_SC-70-6",114.710000,-77.090000,-90.000000,bottom
"R3","0R","R_0603_1608Metric",93.000000,-53.124600,90.000000,bottom
"R4","0R","R_0603_1608Metric",119.187998,-56.449650,-90.000000,bottom
"R5","7.32M","R_0603_1608Metric",122.860000,-50.100000,0.000000,bottom
"R6","5.62M","R_0603_1608Metric",122.860000,-48.640000,0.000000,bottom
"R7","374K","R_0603_1608Metric",122.860000,-51.560000,180.000000,bottom
"R8","8.25M","R_0603_1608Metric",122.860000,-53.020000,180.000000,bottom
"R9","4.53M","R_0603_1608Metric",122.860000,-54.480000,180.000000,bottom
"R10","8.25M","R_0603_1608Metric",122.860000,-55.940000,0.000000,bottom
