Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0603_1608Metric",110.879995,-60.137844,0.000000,bottom
"C3","4.7uF","C_0603_1608Metric",110.879995,-58.677844,180.000000,bottom
"C4","10nF","C_0603_1608Metric",110.879995,-55.757844,180.000000,bottom
"C5","100uF","C_0805_2012Metric",115.500000,-62.370000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",122.339995,-57.217844,0.000000,bottom
"C7","4.7uF","C_0603_1608Metric",115.490000,-64.340000,0.000000,bottom
"C8","22uF","C_0603_1608Metric",122.339995,-58.677844,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric",115.490000,-66.090000,0.000000,bottom
"C10","0.1uF","C_0603_1608Metric",122.339995,-60.137844,0.000000,bottom
"C11","0.1uF","C_0603_1608Metric",118.700000,-67.100000,-90.000000,bottom
"C12","10nF","C_0603_1608Metric",97.789700,-62.775000,-90.000000,bottom
"C13","10nF","C_0603_1608Metric",105.425000,-62.775000,-90.000000,bottom
"D1","SZMM5Z5V1T1G","D_SOD-523",110.650000,-61.570000,0.000000,bottom
"D2","DFLS130L-7","D_PowerDI-123",106.700000,-67.400000,-90.000000,bottom
"D3","DFLS130L-7","D_PowerDI-123",100.300000,-77.300000,180.000000,bottom
"D4","DFLS130L-7","D_PowerDI-123",105.300000,-77.300000,180.000000,bottom
"J1","FTS-105-01-X-DV-A","SAMTEC-FTS-105-01-X-DV-A",96.800000,-71.360000,180.000000,bottom
"L1","22uH-LPS4018-223MR","LPS4018",111.110000,-64.700000,0.000000,bottom
"L2","10uH-LPS4018-103MR","LPS4018",119.611550,-63.200000,0.000000,bottom
"Q1","NX3008NBKS","SOT-363_SC-70-6",97.114700,-59.625000,-90.000000,bottom
"Q2","MBT2222ADW1T1","SOT-363_SC-70-6",94.239700,-59.625000,-90.000000,bottom
"Q3","NX3008NBKS","SOT-363_SC-70-6",104.750000,-59.625000,-90.000000,bottom
"Q4","MBT2222ADW1T1","SOT-363_SC-70-6",101.875000,-59.625000,-90.000000,bottom
"R3","0R","R_0603_1608Metric",93.450000,-76.200000,0.000000,bottom
"R4","0R","R_0603_1608Metric",119.379995,-57.217844,0.000000,bottom
"R5","7.32M","R_0603_1608Metric",112.789995,-53.547844,90.000000,bottom
"R6","5.62M","R_0603_1608Metric",111.329995,-53.547844,90.000000,bottom
"R7","374K","R_0603_1608Metric",114.249995,-53.547844,-90.000000,bottom
"R8","8.25M","R_0603_1608Metric",115.709995,-53.547844,-90.000000,bottom
"R9","4.53M","R_0603_1608Metric",117.169995,-53.547844,-90.000000,bottom
"R10","8.25M","R_0603_1608Metric",119.379995,-54.297844,180.000000,bottom
"R11","4.75M","R_0603_1608Metric",119.379995,-55.757844,180.000000,bottom
"R12","0R","R_0603_1608Metric",107.545000,-54.050000,0.000000,bottom
"R13","0R","R_0603_1608Metric",105.895000,-54.050000,0.000000,bottom
"R14","DNI (0R)","R_0603_1608Metric",110.879995,-57.217844,180.000000,bottom
"R15","DNI (0R)","R_0603_1608Metric",110.300000,-69.025000,90.000000,bottom
"R16","0R","R_0603_1608Metric",112.590000,-68.200000,180.000000,bottom
"R17","0R","R_0603_1608Metric",107.545000,-52.590000,0.000000,bottom
"R18","0R","R_0603_1608Metric",105.895000,-52.590000,0.000000,bottom
"R19","DNI (0R)","R_0603_1608Metric",94.064700,-57.225000,180.000000,bottom
"R20","DNI (0R)","R_0603_1608Metric",101.700000,-57.225000,180.000000,bottom
"R21","680R","R_0603_1608Metric",93.364700,-62.775000,90.000000,bottom
"R22","100K","R_0603_1608Metric",97.039700,-57.225000,180.000000,bottom
"R23","10K","R_0603_1608Metric",96.314700,-62.775000,90.000000,bottom
"R24","10K","R_0603_1608Metric",91.889700,-62.775000,90.000000,bottom
"R25","200K","R_0603_1608Metric",94.839700,-62.775000,90.000000,bottom
"R26","680R","R_0603_1608Metric",101.000000,-62.775000,90.000000,bottom
"R27","100K","R_0603_1608Metric",104.675000,-57.225000,180.000000,bottom
"R28","10K","R_0603_1608Metric",103.950000,-62.775000,90.000000,bottom
"R29","10K","R_0603_1608Metric",99.525000,-62.775000,90.000000,bottom
"R30","200K","R_0603_1608Metric",102.475000,-62.775000,90.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-88.700000,0.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-44.300000,0.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",84.500000,-44.300000,180.000000,bottom
"Ref**","Val**","pycubed_mini_half",106.200000,-44.500000,180.000000,bottom
"U1","BQ25570RGRR","QFN50P350X350X100-21N-D",115.110000,-57.770000,0.000000,bottom
