Ref,Val,Package,PosX,PosY,Rot,Side
"BA1","ATB2012-50011-T000","ATB2012",101.900000,-59.600000,0.000000,bottom
"C2","0.1uF","C_0603_1608Metric",122.380195,-55.293600,180.000000,bottom
"C3","4.7uF","C_0603_1608Metric",122.380195,-56.753600,0.000000,bottom
"C4","10nF","C_0603_1608Metric",122.380195,-59.673600,0.000000,bottom
"C5","100uF","C_0805_2012Metric",117.125195,-52.643600,180.000000,bottom
"C6","1uF","C_0603_1608Metric",110.835000,-57.720000,180.000000,bottom
"C7","4.7uF","C_0603_1608Metric",117.135195,-50.780000,180.000000,bottom
"C8","22uF","C_0603_1608Metric",110.830000,-56.260000,180.000000,bottom
"C9","0.1uF","C_0603_1608Metric",117.135195,-49.160000,180.000000,bottom
"C10","0.1uF","C_0603_1608Metric",110.830960,-54.800000,180.000000,bottom
"C11","0.1uF","C_0603_1608Metric",101.800000,-51.500000,-90.000000,bottom
"C12","10nF","C_0603_1608Metric",117.720000,-81.905000,180.000000,bottom
"C13","10nF","C_0603_1608Metric",107.525000,-81.905000,180.000000,bottom
"D1","SZMM5Z5V1T1G","D_SOD-523",122.500000,-53.863600,180.000000,bottom
"D2","DFLS130L-7","D_PowerDI-123",116.825000,-66.650000,180.000000,bottom
"D3","DFLS130L-7","D_PowerDI-123",117.900000,-70.475000,90.000000,bottom
"D4","DFLS130L-7","D_PowerDI-123",115.300000,-70.475000,-90.000000,bottom
"J1","FTS-105-01-X-DV-A","SAMTEC-FTS-105-01-X-DV-A",96.800000,-71.360000,180.000000,bottom
"J2","U.FL-R-SMT-1","U.FL-R-SMT-1",97.050000,-60.000000,-90.000000,bottom
"L1","22uH-LPS4018-223MR","LPS4018",121.467284,-50.676056,180.000000,bottom
"L2","10uH-LPS4018-103MR","LPS4018",113.057284,-50.676056,180.000000,bottom
"Q1","NX3008NBKS","SOT-363_SC-70-6",120.800000,-81.235000,180.000000,bottom
"Q2","MBT2222ADW1T1","SOT-363_SC-70-6",120.800000,-78.435000,180.000000,bottom
"Q3","NX3008NBKS","SOT-363_SC-70-6",110.605000,-81.235000,180.000000,bottom
"Q4","MBT2222ADW1T1","SOT-363_SC-70-6",110.605000,-78.435000,180.000000,bottom
"Q5","IRLML2803","SOT-23",92.850000,-77.710000,90.000000,bottom
"Q6","IRF7404","SOIC-8_3.9x4.9mm_P1.27mm",99.700000,-79.400000,0.000000,bottom
"R3","0R","R_0603_1608Metric",95.025000,-66.400000,0.000000,bottom
"R4","0R","R_0603_1608Metric",113.800000,-57.720000,180.000000,bottom
"R5","7.32M","R_0603_1608Metric",115.260000,-62.380000,180.000000,bottom
